genotype,DVIT1_1,DVIT1_2,DVIT2_1,DVIT2_2,DVIT3_1,DVIT3_2,DVIT4_1,DVIT4_2,DVIT6_1,DVIT6_2,DVSSR3_1,DVSSR3_2,DVSSR4_1,DVSSR4_2
G1,134,126,256,256/286,189,173,157,157,210,210,NA,NA,253,249
G4,134,126,NA,NA,NA,NA,166,157,198,210,NA,NA,253,255
G7,132,132,256,256,173,173,162,154,NA,NA,237,237,251,251
G19,132,134,256,256,173,173,162,162,NA,NA,NA,NA,251,253
G20,130,134,256,256,173,173,162,157,204,207,237,237,251,253
G30,132,132,258,258,173,171,162,154,204,204,237,259,253,253
G38,132,132,258,258,173,173,154,154,204,204,237,237,251,253
