locus	samples	reason
Dvit3	SRR10418411_Illinois_USA	PASS
Dvit3	SRR10418412_Wisconsin_USA	PASS
Dvit3	SRR10418413_Arizona_USA	NO_READS
Dvit3	SRR10418414_Australia	PASS
Dvit3	SRR10418415_Uruguay	PASS
Dvit3	SRR10418416_Armenia	PASS
Dvit3	SRR10418417_Romania	PASS
Dvit3	SRR10418418_Austria	PASS
Dvit3	SRR10418419_Palatinat_Germany	PASS
Dvit3	SRR10418420_south-west_France	PASS
Dvit3	SRR10418421_Massasuchetts_USA	NO_READS
Dvit3	SRR10418422_Washington_USA	FLANK_ASSEMBLY_INDEL
Dvit3	SRR10418423_California_USA	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv10g20vaitc8155	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv14g38vaitc8157	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv15g1vaitc8151	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv18g4vaitc8152	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv21g19vaitc8154	PASS
Dvit4	HGMFWDSXY_Y21S0015-dv22g19vaitc8154	PASS
Dvit4	HGMFWDSXY_Y21S0015-dv25g30vaitc8156	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv26g30vaitc8156	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv27g38vaitc8157	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv2g1vaitc8151	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv5g7vaitc8153	FLANK_INDEL_FRAC
Dvit4	HGMFWDSXY_Y21S0015-dv6g7vaitc8153	FLANK_ASSEMBLY_INDEL
Dvit4	HGMFWDSXY_Y21S0015-dv9g20vaitc8155	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418406_West_Virginia_USA	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418407_Virginia_2_USA	FLANK_INDEL_FRAC
Dvit4	SRR10418408_Virginia_1_USA	FLANK_INDEL_FRAC
Dvit4	SRR10418409_Pennsylvania_USA	NO_READS
Dvit4	SRR10418410_New_York_USA	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418411_Illinois_USA	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418412_Wisconsin_USA	PASS
Dvit4	SRR10418413_Arizona_USA	NO_READS
Dvit4	SRR10418414_Australia	FLANK_INDEL_FRAC
Dvit4	SRR10418415_Uruguay	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418416_Armenia	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418417_Romania	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418418_Austria	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418419_Palatinat_Germany	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418420_south-west_France	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418421_Massasuchetts_USA	NO_READS
Dvit4	SRR10418422_Washington_USA	FLANK_ASSEMBLY_INDEL
Dvit4	SRR10418423_California_USA	FLANK_ASSEMBLY_INDEL
Dvit5	HGMFWDSXY_Y21S0015-dv10g20vaitc8155	FLANK_INDEL_FRAC
Dvit5	HGMFWDSXY_Y21S0015-dv14g38vaitc8157	QUALITY
Dvit5	HGMFWDSXY_Y21S0015-dv15g1vaitc8151	QUALITY
Dvit5	HGMFWDSXY_Y21S0015-dv18g4vaitc8152	FLANK_INDEL_FRAC
Dvit5	HGMFWDSXY_Y21S0015-dv21g19vaitc8154	QUALITY
Dvit5	HGMFWDSXY_Y21S0015-dv22g19vaitc8154	QUALITY
Dvit5	HGMFWDSXY_Y21S0015-dv25g30vaitc8156	QUALITY
Dvit5	HGMFWDSXY_Y21S0015-dv26g30vaitc8156	STUTTER_FRACTION
Dvit5	HGMFWDSXY_Y21S0015-dv27g38vaitc8157	FLANK_INDEL_FRAC
Dvit5	HGMFWDSXY_Y21S0015-dv2g1vaitc8151	QUALITY
Dvit5	HGMFWDSXY_Y21S0015-dv5g7vaitc8153	QUALITY
Dvit5	HGMFWDSXY_Y21S0015-dv6g7vaitc8153	QUALITY
Dvit5	HGMFWDSXY_Y21S0015-dv9g20vaitc8155	FLANK_INDEL_FRAC
Dvit5	SRR10418406_West_Virginia_USA	QUALITY
Dvit5	SRR10418407_Virginia_2_USA	NO_READS
Dvit5	SRR10418408_Virginia_1_USA	NO_READS
Dvit5	SRR10418409_Pennsylvania_USA	NO_READS
Dvit5	SRR10418410_New_York_USA	QUALITY
Dvit5	SRR10418411_Illinois_USA	QUALITY
Dvit5	SRR10418412_Wisconsin_USA	FLANK_INDEL_FRAC
Dvit5	SRR10418413_Arizona_USA	NO_READS
Dvit5	SRR10418414_Australia	QUALITY
Dvit5	SRR10418415_Uruguay	QUALITY
Dvit5	SRR10418416_Armenia	QUALITY
Dvit5	SRR10418417_Romania	QUALITY
Dvit5	SRR10418418_Austria	QUALITY
Dvit5	SRR10418419_Palatinat_Germany	QUALITY
Dvit5	SRR10418420_south-west_France	QUALITY
Dvit5	SRR10418421_Massasuchetts_USA	NO_READS
Dvit5	SRR10418422_Washington_USA	QUALITY
Dvit5	SRR10418423_California_USA	QUALITY
Dvit6	HGMFWDSXY_Y21S0015-dv10g20vaitc8155	PASS
Dvit6	HGMFWDSXY_Y21S0015-dv14g38vaitc8157	PASS
Dvit6	HGMFWDSXY_Y21S0015-dv15g1vaitc8151	PASS
Dvit6	HGMFWDSXY_Y21S0015-dv18g4vaitc8152	PASS
Dvit6	HGMFWDSXY_Y21S0015-dv21g19vaitc8154	QUALITY
Dvit6	HGMFWDSXY_Y21S0015-dv22g19vaitc8154	QUALITY
Dvit6	HGMFWDSXY_Y21S0015-dv25g30vaitc8156	PASS
Dvit6	HGMFWDSXY_Y21S0015-dv26g30vaitc8156	PASS
Dvit6	HGMFWDSXY_Y21S0015-dv27g38vaitc8157	QUALITY
Dvit6	HGMFWDSXY_Y21S0015-dv2g1vaitc8151	PASS
Dvit6	HGMFWDSXY_Y21S0015-dv5g7vaitc8153	QUALITY
Dvit6	HGMFWDSXY_Y21S0015-dv6g7vaitc8153	QUALITY
Dvit6	HGMFWDSXY_Y21S0015-dv9g20vaitc8155	QUALITY
